BPM,Temp,SR
83,35.0625,10
82,35.0625,10
80,35.0625,15
80,35.0625,12
80,35.0625,11
79,35.0625,12
78,35.0625,13
75,35.0625,13
80,35.0625,13
83,35.125,15
83,35.0625,16
83,35.0625,16
82,35.0625,14
83,35.0625,13
83,35.0625,14
83,35.0625,12
79,35.0625,13
78,35.125,13
83,35.0625,14
83,35.0625,15
83,35.0625,14
82,35.0625,15
82,35.0625,14
80,35.0625,13
80,35,11
82,35.0625,12
82,35.0625,12
82,35.0625,13
81,35.0625,13
81,35.0625,13
81,35.0625,14
82,35.0625,13
82,35.0625,14
81,35.0625,10
80,35.0625,10
81,35.125,12
80,35.0625,11
76,35.125,12
74,35.125,12
75,35.0625,13
76,35.0625,12
80,35.125,12
80,35.125,11
75,35.0625,10
72,35.125,10
74,35.125,11
75,35.125,10
79,35.125,11
77,35.0625,11
80,35.125,12
78,35.0625,11
80,35.125,10
80,35.125,10
82,35.125,10
82,35.125,10
82,35.125,10
80,35.125,10
80,35.1875,10
78,35.125,9
81,35.125,9
80,35.125,12
81,35.125,11
81,35.125,12
82,35.125,11
81,35.125,11
81,35.125,11
78,35.125,11
79,35.125,10
78,35.1875,10
81,35.1875,11
81,35.1875,11
82,35.125,11
83,35.1875,11
82,35.1875,12
82,35.1875,13
82,35.1875,13
83,35.1875,14
80,35.1875,13
80,35.1875,10
76,35.1875,11
78,35.1875,12
82,35.1875,12
82,35.1875,11
82,35.1875,11
82,35.1875,12
82,35.25,12
82,35.25,12
82,35.25,11
82,35.25,13
80,35.25,11
80,35.1875,11
78,35.25,12
79,35.25,11
78,35.25,12
82,35.25,11
78,35.1875,10
78,35.1875,13
79,35.25,13
76,35.25,13
76,35.25,13
77,35.25,12
79,35.25,13
80,35.25,12
82,35.25,12
83,35.25,11
83,35.25,10
83,35.25,11
83,35.3125,13
80,35.25,12
77,35.25,12
75,35.3125,11
80,35.25,13
75,35.3125,13
77,35.25,13
76,35.3125,12
82,35.3125,11
82,35.3125,11
83,35.3125,12
83,35.3125,12
77,35.3125,12
71,35.3125,11
68,35.3125,11
68,35.3125,11
69,35.3125,12
73,35.375,14
79,35.375,13
82,35.3125,13
83,35.3125,14
83,35.375,16
83,35.3125,14
83,35.3125,14
83,35.3125,14
83,35.375,12
83,35.375,12
80,35.375,12
74,35.375,13
75,35.375,12
83,35.375,12
82,35.375,12
82,35.375,12
81,35.375,12
81,35.375,14
82,35.375,15
83,35.375,16
83,35.375,14
83,35.375,14
82,35.375,15
82,35.375,14
80,35.4375,14
80,35.375,14
80,35.375,12
82,35.375,13
82,35.375,12
82,35.4375,80
76,35.375,12
71,35.375,12
66,35.4375,12
68,35.375,12
75,35.375,12
79,35.375,14
75,35.375,15
68,35.375,14
64,35.375,14
59,35.375,14
67,35.375,14
75,35.375,13
83,35.4375,14
82,35.4375,13
81,35.4375,11
81,35.4375,11
78,35.375,11
76,35.4375,11
78,35.4375,12
78,35.4375,11
83,35.4375,11
76,35.4375,11
75,35.375,11
72,35.4375,12
71,35.4375,12
76,35.4375,13
80,35.4375,13
83,35.4375,12
81,35.4375,12
80,35.4375,12
81,35.4375,12
82,35.5,13
82,35.4375,11
82,35.4375,10
83,35.4375,10
83,35.4375,10
83,35.4375,11
83,35.4375,10
80,35.4375,10
79,35.4375,11
75,35.4375,10
72,35.5,11
70,35.4375,12
76,35.5,11
80,35.4375,12
82,35.4375,12
82,35.4375,13
83,35.5,12
83,35.4375,12
83,35.4375,12
83,35.4375,9
83,35.4375,8
76,35.4375,8
76,35.4375,9
78,35.4375,8
78,35.5,8
80,35.5,8
80,35.5,9
83,35.5,8
83,35.5,11
80,35.4375,9
81,35.4375,11
83,35.5,12
83,35.5,14
83,35.4375,13
82,35.4375,13
82,35.4375,13
76,35.4375,14
76,35.5,10
74,35.5,11
76,35.5,10
76,35.4375,11
83,35.5,12
79,35.5,10
78,35.5,11
78,35.5,11
81,35.4375,11
82,35.5,13
82,35.4375,13
82,35.5,14
81,35.5,15
76,35.5,15
77,35.5,14
77,35.5,15
82,35.5,14
81,35.5,17
81,35.5,14
81,35.5,21
81,35.4375,20
81,35.5,21
78,35.4375,20
81,35.5,20
83,35.5,20
83,35.5,21
83,35.5,23
83,35.5,25
83,35.5,26
83,35.5,29
83,35.4375,27
82,35.4375,27
82,35.5,27
83,35.5,27
82,35.5,29
82,35.5,27
82,35.5,26
83,35.5,26
83,35.5,83
83,35.5,26
82,35.5,26
81,35.5,25
82,35.5,27
83,35.5,27
83,35.5,27
83,35.5625,28
83,35.5625,30
83,35.5,29
78,35.5,29
78,35.5625,28
77,35.5625,28
65,31.375,21
72,31.4375,18
66,32.125,23
77,32.125,26
76,32.1875,24
78,32.3125,22
78,32.3125,23
80,32.375,23
78,32.375,22
72,32.375,21
67,32.4375,22
68,32.5,21
63,32.5,19
60,32.5625,20
72,32.6875,17
67,32.6875,19
64,32.75,20
63,32.75,18
66,32.75,17
68,32.8125,18
67,32.8125,18
72,32.8125,17
71,32.875,16
66,32.9375,18
63,32.9375,17
63,32.9375,16
64,32.9375,16
63,33,18
63,33,16
63,33.0625,15
61,33,16
67,33.0625,17
68,33.125,14
76,33.0625,14
72,33.125,15
67,33.125,13
64,33.1875,15
63,33.1875,14
69,33.1875,15
76,33.1875,14
70,33.25,14
72,33.25,14
64,33.25,14
62,33.3125,15
63,33.3125,14
63,33.3125,15
63,33.3125,15
65,33.375,13
67,33.375,13
67,33.375,14
67,33.4375,12
65,33.4375,11
63,33.4375,12
62,33.5,12
64,33.4375,12
64,33.5,13
64,33.4375,12
64,33.5625,12
69,33.5625,13
65,33.5,15
69,33.5625,15
63,33.5625,14
70,33.625,14
70,33.5625,14
67,33.5625,14
63,33.625,14
68,33.625,15
58,33.625,13
59,33.625,14
60,33.625,14
58,33.6875,14
62,33.75,14
62,33.6875,16
61,33.6875,14
62,33.6875,14
64,33.75,16
69,33.75,17
71,33.75,14
71,33.8125,17
67,33.8125,14
64,33.8125,18
59,33.8125,18
59,33.875,16
65,33.875,16
65,33.875,17
71,33.875,16
67,33.875,17
65,33.875,18
63,33.875,17
61,33.875,16
62,33.9375,17
66,33.9375,16
64,33.9375,15
58,34,13
58,34.0625,17
65,34.0625,14
72,34.0625,17
75,34.0625,14
72,34.125,16
74,34.125,17
68,34.125,16
70,34.125,17
60,34.125,17
68,34.0625,17
69,34.125,17
72,34.125,18
67,34.1875,18
63,34.1875,15
64,34.1875,16
58,34.125,16
61,34.1875,16
56,34.25,16
59,34.25,17
59,34.1875,17
60,34.25,17
63,34.25,16
66,34.25,16
71,34.25,15
68,34.3125,15
65,34.3125,14
62,34.3125,15
62,34.3125,16
66,34.3125,16
71,34.3125,16
65,34.3125,17
65,34.375,15
64,34.3125,14
68,34.375,14
70,34.3125,15
70,34.3125,15
70,34.375,15
60,34.4375,12
58,34.4375,12
60,34.5,13
70,34.5,13
69,34.5,15
70,34.5,15
69,34.5,15
68,34.5,13
65,34.5,13
65,34.5625,13
65,34.5,14
69,34.5,14
72,34.5,14
71,34.5,15
70,34.5625,15
68,34.5625,14
65,34.625,13
64,34.5625,13
65,34.625,13
68,34.625,14
70,34.625,14
69,34.5625,14
71,34.625,15
66,34.625,15
65,34.6875,15
65,34.625,13
62,34.625,13
63,34.625,13
62,34.625,13
62,34.6875,13
60,34.6875,14
61,34.625,14
60,34.6875,15
61,34.6875,14
61,34.6875,12
65,34.6875,12
67,34.6875,12
76,34.75,14
71,34.75,13
68,34.6875,14
61,34.6875,14
59,34.75,14
63,34.75,80
65,34.75,12
72,34.75,12
78,34.75,13
70,34.75,12
68,34.75,14
61,34.8125,17
66,34.75,18
65,34.8125,19
70,34.75,18
68,34.75,16
71,34.8125,17
69,34.8125,17
72,34.875,17
65,34.8125,17
65,34.875,18
59,34.8125,17
60,34.875,16
62,34.8125,17
63,34.8125,15
67,34.875,17
74,34.875,17
78,34.875,17
78,34.875,17
69,34.875,18
59,35.5,22
63,35.5,22
60,35.5,21
60,35.5,21
60,35.5,21
62,35.5,21
62,35.5,21
64,35.5,21
68,35.5,22
67,35.5,22
61,35.5,20
62,35.5,21
64,35.5,21
66,35.5,21
69,35.5,20
74,35.5,20
68,35.5,19
69,35.5,20
66,35.5,19
61,35.5,20
73,35.5,20
68,35.5,18
63,35.5,20
60,35.5,20
59,35.5,20
62,35.5,19
72,35.625,25
62,35.625,20
61,35.625,20
60,35.625,20
76,35.625,21
80,35.625,21
75,35.5625,22
71,35.625,21
71,35.625,22
71,35.5625,22
71,35.625,22
76,35.625,21
70,35.625,80
71,35.625,21
71,35.5625,20
70,35.5625,21
73,35.5625,18
73,35.625,20
75,35.625,20
74,35.625,20
73,35.5625,19
74,35.5625,20
77,35.5625,19
74,35.625,19
79,35.5625,18
80,35.5625,23
80,35.625,22
74,35.5625,22
76,35.625,20
81,35.5625,20
77,35.625,20
77,35.625,19
74,35.625,20
74,35.5625,20
72,35.625,19
72,35.625,19
77,35.625,20
82,35.625,20
78,35.625,22
78,35.625,18
75,35.625,23
78,35.625,24
81,35.625,20
79,35.625,20
79,35.5625,21
76,35.625,20
72,35.625,22
71,35.625,25
68,35.5625,27
70,35.5625,28
72,35.625,28
75,35.625,30
78,35.625,29
78,35.625,28
77,35.625,24
72,35.625,25
70,35.625,25
68,35.625,27
69,35.625,28
69,35.6875,26
75,35.625,27
75,35.625,24
78,35.625,24
78,35.6875,24
73,35.625,25
69,35.625,25
68,35.625,26
69,35.6875,28
69,35.6875,29
71,35.625,28
75,35.625,28
77,35.625,26
79,35.6875,26
80,35.6875,26
79,35.625,26
76,35.625,27
79,35.6875,27
79,35.625,27
78,35.6875,26
77,35.6875,26
76,35.625,24
80,35.6875,24
80,35.6875,24
80,35.6875,23
78,35.625,25
80,35.6875,25
79,35.625,26
76,35.6875,25
74,35.6875,25
74,35.6875,23
76,35.6875,23
76,35.6875,23
77,35.6875,22
75,35.6875,23
77,35.6875,23
75,35.625,24
77,35.6875,24
75,35.6875,24
78,35.6875,22
79,35.6875,22
80,35.6875,22
76,35.6875,22
77,35.6875,21
75,35.6875,22
76,35.6875,21
74,35.6875,22
76,35.75,22
76,35.6875,22
75,35.6875,22
77,35.625,21
74,35.75,21
71,35.6875,20
67,35.6875,20
72,35.6875,20
69,35.6875,20
71,35.6875,20
68,35.75,22
71,35.6875,25
70,35.6875,22
72,35.75,22
79,35.75,22
81,35.6875,22
79,35.6875,21
80,35.6875,20
80,35.6875,20
80,35.6875,21
77,35.6875,21
73,35.6875,21
